Code;Libelle;Type;Commune;Cours d'eau;Masse d'eau;
05183620;Le ruisseau la mousquère au niveau de Bourisp;STQ;Bourisp;Ruisseau d'Ourtigué;Ruisseau d'Ourtigué;
07585X0063/R69;RIBERAC - Saint-Martial (puits);QZ;Ribérac;;;
08794X0004/F;TOURNON D'AGENAIS - CAMP DE GARDE, FORAGE;QZ;Tournon d'Agenais;;Calcaires du jurassique moyen et supérieur captif;
05085950;La Lède à Lacapelle-Biron;STQ;Lacapelle Biron;La Lède;La Lède de sa source à la commune de Gavaudun;
05218400;Le Gave de Pau à Soulom (amont prise d'eau);STQ;Soulom;Gave de Pau;La Gave de Pau du confluent du Pailla au confluent du Gave de Cauterets;
05091075;Le Ruisseau de Planioles au niveau de Figeac;STQ;Figeac;Ruisseau de Planioles;Ruisseau de Planioles;
05172220;Le ruisseau de Roques à Serres-sur-Arget;STQ;Serres sur Arget;Ruisseau de Roques;Ruisseau de Roques;
05103000;Le Lot à Chadenet;STQ;Chadenet;Le Lot;Le Lot de sa source au confluent du Bramont;
05191180;Le ruisseau de Biard au niveau de Biganos;STQ;Biganos;Ruisseau de Biard;Ruisseau de Biard;
07571X0509/HY;Source la Pible (MONTBOYER-16);QZ;Montboyer;;;
05035200;La Dronne en amont de St Pardoux la Rivière;STQ;Saint Pardoux la Rivière;La Dronne;La Dronne de sa source au confluent du Manet (inclus);
05125100;Le Vernhou à La Salvetat-Peyralès;STQ;Salvetat Peyralès;Le Vernhou;Le Vernhou;
05178800;L'Arbas à Mane;STQ;Mane;l'Arbas;L'Arbas (Bouchot) de sa source au confluent du Salat;
09767X0010/F1;ORIST - piezo Q?;QZ;Orist;;sables, calcaires et dolomies de l'éocène-paléocène captif sud AG;
05069230;La Tarentaine au niveau de Champs sur Tarentaine;STQ;Champs sur Tarentaine Marchal;La Tarentaine;La Tarentaine du confluent du Neuffonds au confluent de la Rhue;
05047600;La Dordogne à Cours de Pile;STQ;Cours de Pile;La Dordogne;La Dordogne du confluent de la Vézère au confluent du Caudeau;
07855X0032/HY;CHASTEAUX- Source du Sorpt;QZ;Chasteaux;;Calcaires des Causses du Quercy BV Corrèze-Vézère;
08042X0006/F;Bonzac - puits Guitres;QZ;Bonzac;;;
05091675;Le Ressègue en amont du camping de Chaules;STQ;Mourjou;La Ressègue;La Ressègue;
09253X0046/F;MAILLERES - Forage « Marsaou » - D12;QZ;Maillères;;Calcaires et faluns de l'aquitanien-burdigalien (miocène) captif;
05000240;Le Canal de Charras à St Laurent de la Prée;STQ;Saint Laurent de la Prée;La Devise;La Devise du lieu-dit le gué Charreau au confluent de la Charente;
05170800;Le Crieu à Ventenac;STQ;Ventenac;Le Crieu;Le Crieu;
10577X0101/F;VARILHES - Forage De Lagreou;QZ;Varilhes;;Alluvions de l'Ariège et affluents;
09268X0210/F3;CREON-D'ARMAGNAC - ASA de Moulère - D7;QZ;Créon d'Armagnac;;Calcaires et faluns de l'aquitanien-burdigalien (miocène) captif;
05084985;La Lède à Casseneuil;STQ;Casseneuil;La Lède;La Lède du confluent de la Leyze au confluent du Lot;
05022100;Le Bandiat au Pont de Villejaleix;STQ;Saint Martin le Pin;Le Bandiat;Le Bandiat du confluent des Vergnes au confluent du Varaignes;
05134550;Le Laudot au niveau de Les Brunels;STQ;Brunels;Le Laudot;Rigole de la Montagne Noire;
05218520;Le Gave de Pau au niveau de Luz-St-Sauveur;STQ;Luz Saint Sauveur;Gave de Pau;La Gave de Pau du confluent du Pailla au confluent du Gave de Cauterets;
05134350;Le Bernazobre au niveau de Cambounet sur le Sor;STQ;Cambounet sur le Sor;Ruisseau du Bernazobre;Le Bernazobre de sa source au confluent du Sor;
05120150;La Bonnette à St-Antonin;STQ;Saint Antonin Noble Val;La Bonnette;La Bonnette de sa source au confluent de l'Aveyron;
05002650;La Soie en aval de Chantemerle sur la soie;STQ;Chantemerle sur la Soie;La Soie;La Soie;
05021650;La Tardoire à Champagnac;STQ;Champagnac la Rivière;La Tardoire;La Tardoire;
05044000;L'Isle à Corgnac;STQ;Saint Jory las Bloux;l'Isle;L'Isle du confluent de la Valouse au confluent de l'Auvézère;
05066950;La Dordogne à l'aval de Beaulieu;STQ;Altillac;La Dordogne;La Dordogne du barrage d'Argentat au confluent de la Cère;
05148000;La Dourbie au niveau de Monna;STQ;Millau;La Dourbie;La Dourbie du confluent des Crozes au confluent du Tarn;
05022270;Le Son-Sonnette au niveau de Nieuil;STQ;Nieuil;La Son-Sonnette;Le Son-Sonnette de sa source au confluent de la Charente;
08352X0002/C;SAINT-ANTOINE - La Devèze Haute;QZ;Saint Antoine;;Socle BV Lot secteurs hydro o7-o8;
05063990;Le ruisseau de Roannes à St Mamet la Salvetat;STQ;Saint Mamet la Salvetat;Ruisseau de Roannes;Le Roannes (Roques) de sa source au confluent de la Cère;
05129080;Le Miroulet à La Molle;STQ;Montauban;Ruisseau de Miroulet;Ruisseau de Miroulet;
05139150;La Durenque en aval de Cambounès;STQ;Cambounès;La Durenque;La Durenque de sa source au confluent de la Durencuse (incluse);
05033570;Le Rieumançon au niveau de Tocane St Apre;STQ;Tocane Saint Apre;Le Rieumançon;Le Rieumançon;
05237000;La Nivelle en aval de St-Pée;STQ;Saint Pée sur Nivelle;La Nivelle;La Nivelle de sa source à l'océan;
05102150;Le Lot à l'amont de Mende;STQ;Mende;Le Lot;Le Lot de sa source au confluent du Bramont;
05073000;La Garonne en aval de Bordeaux;STQ;Saint Louis de Montferrand;La Garonne;Estuaire Fluvial Garonne Aval;
05137200;Le Thoré à La Richarde;STQ;Bout du Pont de Larn;Le Thoré;Le Thoré du confluent de la Truite au confluent de l'Arn;
Q2615013;Lac de Commanday;STQL;Morcenx;;Lac du Commanday;
05060920;Le Tournefeuille à Nadaillac de Rouge;STQ;Nadaillac de Rouge;Ruisseau de Tournefeuille;Le Tournefeuille de sa source au confluent de la Dordogne;
10014X0007/F1;TARNOS - Piezo;QZ;Tarnos;;Sables plio-quaternaires des bassins côtiers région hydro s et terrasses anciennes de la Gironde;
05126100;L'Aveyron à La Valette;STQ;Rignac;l'Aveyron;L'Aveyron du confluent de la Briane au confluent de l'Alzou;
05080741;Le Bras du Dropt au niveau de Saint-Martin-de-Villeréal;STQ;Saint Martin de Villeréal;Non nommé;;
09352X0048/HY;CREISSELS -Boundoulaou;QZ;Creissels;;Calcaires des grands Causses BV Tarn;
05030150;La Dronne aux Sablons;STQ;Lagorce;La Dronne;La Dronne du confluent de la Lizonne au confluent de l'Isle;
05091450;Le Rance en aval de Maurs;STQ;Maurs;La Rance;La Rance de sa source au confluent du Célé;
05023000;La Charente au Pont de Barro;STQ;Barro;La Charente;La Charente du confluent du Merdanèon au confluent de la Tardoire;
05083800;Le Lot en aval d'Aiguillon;STQ;Aiguillon;Le Lot;Le Lot du confluent de la Lémance au confluent de la Garonne;
05005400;La Belle à Sécondigné-sur-Belle;STQ;Secondigné sur Belle;La Belle;La Belle;
05009845;La Seugne au niveau de Fontaines-d'Ozillac;STQ;Fontaines d'Ozillac;La Seugne;La Seugne de sa source au confluent du Pharaon (inclus);
05029950;Le Mouzon au niveau de Neuvicq;STQ;Neuvicq;Le Mouzon;Le Mouzon;
O4975073;Lac de Thérondel;STQL;Monclar de Quercy;;;
10102A0113/F;LABEGE - Parc communal;QZ;Labège;;Molasses du bassin de la Garonne et alluvions anciennes de Piémont;
05175100;La Louge à l'aval du Fousseret;STQ;Marignac Lasclares;La Louge;La Louge du confluent de la Housse (incluse) au confluent de la Garonne;
05069220;La Tarentaine en aval de Champs-sur-Tarentaine;STQ;Champs sur Tarentaine Marchal;La Tarentaine;La Tarentaine du confluent du Neuffonds au confluent de la Rhue;
10762X0062/HY;LA BASTIDE-SUR-L'HERS - Source "La Buvette" à Fontcirgue;QZ;Bastide sur l'Hers;;Terrains plissés BV Ariège secteur hydro o1;
05129078;Le Tescou en amont de Salvagnac;STQ;Lisle sur Tarn;Le Tescou;Le Tescou de sa source au confluent du Tarn;
05086900;Le Lot à Saint Vite;STQ;Condezaygues;Le Lot;Le Lot du confluent de la Lémance au confluent de la Garonne;
05021900;La rivière le Bandiat à Bunzac;STQ;Bunzac;Le Bandiat;Le Bandiat du confluent du Varaignes au confluent de la Tardoire;
05237005;La Nivelle au niveau de St Pée sur Nivelle (Gendarmerie);STQ;Saint Pée sur Nivelle;La Nivelle;La Nivelle de sa source à l'océan;
05094000;Le Riou Mort à Viviez;STQ;Viviez;Riou Mort;Le Riou Mort de sa source au confluent du Lot;
10728X0017/HY;LEZ - Fontaine de Labessade;QZ;Lez;;Terrains plissés du BV Garonne secteur hydro o0;
09771X0314/F;Forage La Grange - SEYRESSE;QZ;Seyresse;;;
09838B2480/F;BLAGNAC - puits du stade;QZ;Blagnac;;Basse et moyenne terrasse de la Garonne rive gauche en amont du Tarn;
05234285;La Geune à Juillan;STQ;Juillan;La Geune;La Geune;
05042072;Le Ruisseau de Marcognac au niveau de Coussac Bonneval;STQ;Coussac Bonneval;Ruisseau de Marcognac;Ruisseau de Marcognac;
05235060;Le canal d'Alaric à Rabastens-de-Bigorre;STQ;Rabastens de Bigorre;Canal d'Alaric;Canal d'Alaric;
05157595;L'Hers Mort à Baziège (aval conf Rau Visenc);STQ;Baziège;l'Hers;L'Hers Mort du confluent du Marès au confluent de la Garonne;
05166850;Le Raunier au niveau de Mazères;STQ;Mazères;Le Raunier;Le Raunier;
05111600;L' Auvignon dans sa partie aval;STQ;Calignac;l'Auvignon;L'Auvignon de sa source au confluent de la Garonne;
05071300;La Mortagne en amont de Tauves;STQ;Tauves;La Mortagne;La Mortagne;
05061250;La Dordogne en amont de Floirac;STQ;Floirac;La Dordogne;La Dordogne du confluent de la Cère au confluent du Tournefeuille;
05006890;Le Bramerit en aval de Grandjean (Lieu dit Les Merceries);STQ;Saint Hilaire de Villefranche;Le Bramerit;Le Bramerit de sa source au confluent de la Charente;
05232220;Le Gabassot au niveau de Ribarrouy;STQ;Taron Sadirac Viellenave;Le Gabassot;Le Gabassot;
05216210;Le Gave de Pau à Rieulhes;STQ;Saint Pé de Bigorre;Gave de Pau;Le Gave de Pau du confluent du Nès au lieu-dit Grottes de Bétharram;
05115200;Le Gers à Auterive;STQ;Auterive;Le Gers;Le Gers de sa source au confluent du Sousson;
08096X0024/F;LACAVE - Nouveau puits Lacave;QZ;Lacave;;Alluvions de la Dordogne;
O2005433;Lac de Lamartine;STQL;Roques;;;
05077370;Le Barthos, à MARIONS;STQ;Marions;Ruisseau de Barthos;La Labarthe (Barthos) de sa source au confluent du Ciron;
05118790;L'Arrats à Casterets;STQ;Casterets;l'Arrats;L'Arrats de sa source au barrage-réservoir de l'Astarac;
05232350;Le Lees à Baleix;STQ;Baleix;Le Lées;Le Lées;
O56-5003;Lac de Saint-Géraud;STQL;Padiès;;Lac de Saint-Géraud;
O53-4013;Réservoir de Pont-de-Salars;STQL;Pont de Salars;;Réservoir de Pont-de-Salars;
05022075;La Doue en aval de l'Etang des Cygnes;STQ;Saint Estèphe;La Doue;La Doue;
05054550;La Solane à Tulle;STQ;Tulle;La Solane;La Solane;
05111000;La Petite Baïse à Galan;STQ;Galan;La Baise;La petite Baïse de sa source au confluent de la Sole (incluse);
05090065;Le Goul au niveau de Taussac;STQ;Taussac;Le Goul;Le Goul de sa source au confluent du Maurs (inclus);
05052100;La Logne au niveau de Cublac;STQ;Cublac;La Logne;La Logne de sa source au confluent de la Vézère;
08033X0162/F2;AMBARAS-ET-LAGRAVE - COFAZ;QZ;Ambarès et Lagrave;;Calcaires du sommet du crétacé supérieur captif nord-aquitain;
P0045133;Etang de la Ramade;STQL;Flayat;;Étang de la Ramade;
08627X0009/SO;MENDE - Source de la Vabre;QZ;Mende;;Calcaires des grands Causses BV Lot;
05083580;La Garonne au Mas d'Agenais;STQ;Mas d'Agenais;La Garonne;La Garonne du confluent du Lot au confluent du Trec de la Greffière;
05116070;La Séoune au niveau de Beauville;STQ;Beauville;La Séoune;La Séoune;
05173450;L'Oriège à Orlu;STQ;Orlu;l'Oriège;L'Oriège de sa source au confluent de l'Ariège;
08504X0008/BARP-3;LE BARP - Poumet, Les Prats;QZ;Barp;;Calcaires et faluns de l'aquitanien-burdigalien (miocène) captif du littoral nord aquitain;
O5855143;Barrage du Tordre;STQL;Léojac;;Retenue du Tordre;
08062X0020/F;MAURENS - Bardicales;QZ;Maurens;;Calcaires et sables du turonien coniacien captif nord-aquitain;
05139390;Le Bertou en amont de Vabre;STQ;Vabre;Le Bertou;Le Bertou;
S4335013;Etang de Garros;STQL;Tarnos;;;
05108000;La Grande Baïse à Larrouze;STQ;Condom;La Baise;La Baïse du confluent de l'Auloue au confluent de la Gélise;
08093X0035/F;FLOIRAC - Scanneaux;QZ;Floirac;;Alluvions de la Dordogne;
08785X0010/F;LAFITTE SUR LOT - LA GRAVETTE;QZ;Lafitte sur Lot;;Calcaires du jurassique moyen et supérieur captif;
10338X0128/F;PALAMINY - La Rampeau;QZ;Palaminy;;Alluvions de la Garonne moyenne et du Tarn aval, la Save, l'Hers mort et le Girou;
05068640;La Sumène en amont de Valette;STQ;Valette;La Sumène;La Sumène de sa source au confluent du Violon;
05012550;Le Briou au niveau de Thors;STQ;Thors;Le Briou;Le Briou de sa source au confluent de l'Antenne;
05235900;La Gailleste en aval de Bagnères et de Pouzac;STQ;Pouzac;l'Anou;;
08281X0020/F;HAUX - Chateau d'eau;QZ;Haux;;Sables, graviers, galets et calcaires de l'éocène nord AG;
10014X0422/R2;TARNOS - Station de pompage R2;QZ;Tarnos;;Sables plio-quaternaires des bassins côtiers région hydro s et terrasses anciennes de la Gironde;
09551X0009/HY;L'ISLE-BOUZON - Source de Soulatge;QZ;Isle Bouzon;;Molasses du bassin de la Garonne et alluvions anciennes de Piémont;
O2815023;Lac de Thoux-Saint-Cricq;STQL;Thoux;;Lac de Thoux-Saint-Cricq;
O9105003;Lac de Clarens;STQL;Casteljaloux;Ruisseau de Bretagne;;
05005622;Ruisseau des Coudrières à Saint-Génard;STQ;Saint Génard;Ruisseau des Coudrières;Ruisseau des Coudrières;
05098850;La Truyère en amont de La Villedieu;STQ;Villedieu;La Truyère;La Truyère de sa source au confluent du Mézère;
05083588;Le Tolzac de Monclar au niveau de Grateloup;STQ;Verteuil d'Agenais;Le Tolzac;Le Tolzac;
06365X0003/SOURCE;AVAILLES;QZ;Chizé;;Calcaires du jurassique supérieur du BV Boutonne secteur hydro r6;
08277X0223/F;SAINT-SELVE - Durand le Raton;QZ;Saint Selve;;Calcaires du sommet du crétacé supérieur captif nord-aquitain;
05211550;Le Luzoué à Monein;STQ;Monein;La Lèze;La Lèze;
05141000;Le Tarn en aval de Rabastens;STQ;Coufouleux;Le Tarn;Le Tarn du confluent du Mérigot au confluent de l'Agout;
05083350;La Canaule à Longueville;STQ;Longueville;La Canaule;La Canaule;
05100080;Ruisseau de la Felgeyre à La Canourgue;STQ;Canourgue;Ruisseau de la Felgeyre;Ruisseau de la Felgeyre;
05077995;Le ruisseau de Sauviac à St Côme;STQ;Saint Côme;Ruisseau de Sauviac;Ruisseau de Sauviac;
05145220;Le Dourdou à Montlaur;STQ;Montlaur;Le Dourdou;Le Dourdou du confluent du Nuéjouls au confluent du Tarn;
05173180;L'Ariège à Ornolac ussat les Bains;STQ;Ornolac Ussat les Bains;l'Ariège;L'Ariège du confluent de l'Aston au confluent du Vicdessos (Soulcem);
05157100;La Sausse à Toulouse;STQ;Toulouse;La Sausse;La Sausse de sa source au confluent de l'Hers Mort;
05234019;L'Adour à Estirac;STQ;Estirac;l'Adour;L'Adour du confluent de l'Echez au confluent de la Midouze;
05145687;Le Cernon à St-Georges-de-Luzençon;STQ;Saint Georges de Luzençon;Le Cernon;Le Cernon du confluent du Soulzon au confluent du Tarn;
05125900;Le Cassurex à Najac;STQ;Najac;Ruisseau de Cassurex;Ruisseau de Cassurex;
05234018;L'Estéous à Estirac;STQ;Estirac;l'Estéous;L'Estéous du confluent de l'Aule au confluent de l'Adour;
09491X0010/F4;MOLIETS-ET-MAA - Le Houron;QZ;Moliets et Maa;;Calcaires et faluns de l'aquitanien-burdigalien (miocène) captif;
05091765;Le Célé à Calvinet;STQ;Calvinet;Le Célé;Le Célé de sa source au confluent de la Ressègue;
O7285003;Barrage de Golinhac;STQL;Estaing;;Retenue de Golinhac;
10305X0083/S1;ASSAT;QZ;Assat;;Alluvions du gave de Pau;
10734X0011/HY;CAZAVET - Source Aliou;QZ;Cazavet;;Terrains plissés du BV Garonne secteur hydro o0;
10573X0224/F;LE CARLARET - Ancienne Gare (puits);QZ;Carlaret;;Alluvions de l'Ariège et affluents;
05217350;Le Bergons en amont de Sère en Lavedan;STQ;Arras en Lavedan;Ruisseau du Bergons;Ruisseau du Bergons;
05134250;Le Bagas à Vielmur sur Agout;STQ;Vielmur sur Agout;Ruisseau de Bagas;Le Bagas du confluent du Poulobre au confluent de l'Agout;
05145100;La Sorgue à l'aval de St-Affrique;STQ;Saint Affrique;La Sorgue;La Sorgue de sa source au confluent du Dourdou;
P1--3003;Barrage d'Enchanet;STQL;Arnac;;Retenue d'Enchanet;
07062X0005/F2;SAUJON - La Bourgeoisie 2;QZ;Saujon;;Calcaires, grés et sables du turonien-coniacien libre BV Charente-Gironde;
05002860;La Trézence;STQ;Loulay;La Trézence;La Trézence de sa source au confluent de la Boutonne;
O1155003;Etang de Gnioure;STQL;Lercoul;;Étang de Gnioure;
07325X0044/F;LEOVILLE - Métairie de Puyrigaud;QZ;Léoville;;Calcaires et sables du turonien coniacien captif nord-aquitain;
O9645133;Lac du Bousquet;STQL;Hostens;;Lac du Bousquet;
05080740;Le Dropt au niveau de Villeréal;STQ;Mazières Naresse;Le Dropt;Le Dropt de sa source au confluent de la Bournègue;
05163000;La Garonne dans Toulouse (St-Pierre);STQ;Toulouse;La Garonne;La Garonne du confluent de l'Ariège au confluent de l'Aussonnelle;
05135900;Le Ruisseau d'Issalès à Pont de l'Arn;STQ;Pont de Larn;Ruisseau d'Issalès;Ruisseau d'Issalès;
08548X0001/F;BOUDY DE BEAUREGARD - MALARET;QZ;Boudy de Beauregard;;Calcaires et sables du turonien coniacien captif nord-aquitain;
05018000;La Charente à Roffit;STQ;Saint Yrieix sur Charente;La Charente;La Charente du confluent du Puits des Preins au confluent de la Touvre;
07102X0503/HY;MONTBRON;QZ;Montbron;;Calcaires du karst de la Rochefoucauld BV Charente;
09515X0027/TLZ1;Forage toulouzette;QZ;Toulouzette;;;
05106520;Le Ruisseau de Répassat au niveau de Montréal;STQ;Montréal;Ruisseau de Répassat;Ruisseau de Répassat;
07796X0110/F;AMBES - EKA-NOBEL;QZ;Ambès;;Sables, graviers, galets et calcaires de l'éocène nord AG;
09781X0008/F;MONTAUT - Forage - GAEC PLACERS -D35;QZ;Montaut;;Calcaires du sommet du crétacé supérieur captif sud aquitain;
05091090;Le Célé en amont de Figeac;STQ;Figeac;Le Célé;Le Célé du confluent du Veyre au confluent du Drauzou;
06842X0028/F;SIECQ - La Bistandille (forage);QZ;Siecq;;Calcaires du jurassique supérieur du BV Charente secteurs hydro r0, r1, r2, r3, r5;
05231050;Le Bahus au niveau de Larrivière;STQ;Saint Sever;Le Bahus;Le Bahus du barrage de Miramont-Sensacq au confluent de l'Adour;
05058105;La Vallée à Siorac-en-Périgord;STQ;Siorac en Périgord;La Vallée;La Vallée;
05179750;La Bouigane au niveau d'Audressein;STQ;Audressein;La Bouigane;La Bouigane de sa source au confluent du Lez;
08801X0003/F;LE BOULVE- Le Boulvé P196;QZ;Boulvé;;Calcaires du jurassique moyen et supérieur captif;
05032800;La Lizonne au Marchais;STQ;Saint Paul Lizonne;La Lizonne;La Lizonne du confluent de la Belle au confluent de la Dronne;
05068760;La Sarsonne en aval d'Ussel;STQ;Saint Exupéry les Roches;La Sarsonne;La Sarsonne de sa source au confluent de la Diège;
05045000;La Dordogne à Branne;STQ;Branne;La Dordogne;Estuaire Fluvial Dordogne;
08524X0046/F;Puits la barthe - floudes;QZ;Floudès;;Alluvions de la Garonne aval;
05056950;La Vézère à l'aval d'Uzerche;STQ;Uzerche;La Vézère;La Vézère du confluent de la Soudaine au confluent du Bradascou;
05035270;Le Dournaujou à Dournazac (D6b);STQ;Dournazac;Le Dournaujou;Le Dournaujou;
06594X0003/P;DAMPIERRE-SUR-BOUTONNE - Les Mottes (puits);QZ;Dampierre sur Boutonne;;Calcaires du jurassique supérieur du BV Boutonne secteur hydro r6;
05217320;Le Bergons au droit d'Ayzac Ost;STQ;Ayzac Ost;Gave de Pau;Le Gave de Pau du confluent du Gave de Cauterets au confluent du Nès;
06818X0523/F;LA TREMBLADE - Route Neuve;QZ;Tremblade;;Calcaires et calcaires marneux du santonien-campanien BV Charente-Gironde;
05022300;La Sonnette au Moulin de Mouchedune;STQ;Parzac;La Sonnette;La Sonnette;
05218620;Le Gave de Héas au niveau de Gedre;STQ;Gavarnie Gèdre;Gave de Héas;Le Gave de Héas de sa source au confluent du Gave de Pau;
05224000;La Midouze au niveau de Bégaar;STQ;Bégaar;La Midouze;La Midouze du confluent du Retjons au confluent de l'Adour;
08098X0039/F;PRUDHOMAT - Granou;QZ;Prudhomat;;Alluvions de la Dordogne;
05233500;L'Adour en amont de Riscle;STQ;Sarragachies;l'Adour;L'Adour du confluent de l'Echez au confluent de la Midouze;
05123000;Le Cérou à Valarens;STQ;Monestiés;Le Cérou;Le Cérou du confluent du Céroc (inclus) au confluent de l'Aveyron;
05036500;L'Isle à Saint-Médard de Guizières;STQ;Coutras;l'Isle;L'Isle du confluent du Cussona (inclus) au confluent de la Dronne;
